Dte. Barri AEB SC Electors Votants Abstenció CiU PSC-PM PP ICV-EUiA-E UpB-ERCRiDC CUP-AxB C's Eb-CenB SI EV-GVE PIRATA.CAT PACMA PxC PUM+J UPyD PDLPEA L.B.B. PCPC P.A.T.O. PRE-IR PH PFiV FE-JONS SAIn U.C.E. Blancs Nuls
BARCELONA    1.163.594 616.537 547.057 174.122 134.193 104.475 62.979 33.900 11.833 11.742 10.115 6.823 6.128 4.675 4.308 3.405 1.593 1.463 1.382 1.189 979 954 710 624 533 349 246 219 27.107 10.491
2 7 28 59 1.211 734 477 337 86 81 57 43 20 11 16 9 4 4 6 3 5 1 1 0 1 1 0 0 0 1 0 0 29 18
2 7 28 60 1.242 727 515 280 93 95 77 58 10 17 13 10 3 7 4 1 1 1 0 0 0 0 1 1 0 2 0 0 34 19
2 7 29 61 938 539 399 181 77 93 53 46 13 12 4 7 2 1 4 2 5 2 0 0 2 0 0 1 0 1 0 0 19 14
2 7 29 62 1.164 673 491 225 103 71 88 55 23 19 12 12 3 6 1 1 2 1 0 0 0 2 1 1 0 0 0 0 35 12
2 7 29 63 889 554 335 247 68 108 41 23 8 3 4 8 0 3 2 2 1 1 3 0 0 1 0 1 0 0 0 0 17 13
2 7 29 64 1.000 660 340 305 76 95 53 22 13 9 7 7 3 3 3 1 2 4 1 0 1 1 2 3 2 0 0 1 40 6
2 7 29 65 1.310 740 570 268 100 115 75 39 14 14 18 19 7 4 7 3 4 5 1 1 1 0 0 1 2 1 0 0 32 9
2 7 30 66 1.431 788 643 275 130 105 74 58 30 4 15 11 8 5 6 2 1 3 3 0 2 1 1 1 0 0 0 0 44 9
2 7 30 67 1.161 621 540 176 95 81 82 50 15 13 23 9 9 4 5 4 2 5 4 1 0 4 0 1 0 0 0 0 29 9
2 7 30 68 1.245 696 549 239 100 90 79 45 20 7 12 13 8 13 7 1 2 3 2 0 1 0 0 2 3 2 0 0 40 7
2 7 30 69 991 632 359 244 108 107 63 13 24 7 8 4 5 4 3 0 1 1 1 0 0 0 0 1 0 0 0 0 33 5
2 7 31 70 957 575 382 240 60 109 58 25 15 8 16 7 5 1 3 0 1 2 0 1 1 1 0 0 0 1 0 0 18 3
2 7 31 71 1.198 786 412 311 100 106 82 33 14 15 17 13 8 10 11 2 3 3 2 1 1 4 0 0 1 0 0 1 33 15
2 7 31 72 878 489 389 193 62 92 54 27 4 6 5 3 1 7 2 1 1 2 0 1 2 1 1 1 0 0 0 0 18 5
2 7 32 73 1.136 670 466 250 93 81 81 49 28 10 10 5 9 7 3 0 1 1 0 1 0 4 0 0 1 0 0 0 25 11
2 7 32 74 775 472 303 183 86 56 50 18 8 5 8 6 11 2 4 0 0 1 2 1 0 0 0 0 2 0 0 0 17 12
2 7 32 75 802 477 325 159 60 67 57 28 17 15 7 14 0 5 6 8 2 2 1 0 0 0 0 1 0 0 0 0 15 13
2 7 32 76 1.115 664 451 274 97 76 58 38 14 10 20 13 0 9 3 1 5 1 0 0 0 1 0 0 0 0 0 0 28 16
2 7 33 77 981 548 433 240 63 109 41 19 11 8 7 4 3 0 1 0 4 0 4 0 0 3 0 0 0 0 0 0 27 4
2 7 34 78 965 529 436 206 74 117 41 19 2 15 10 6 3 0 2 1 1 1 0 0 0 0 0 1 1 0 0 0 19 10
2 7 34 79 872 479 393 218 54 81 39 17 6 7 14 2 1 8 2 0 1 0 0 0 0 0 0 0 0 0 0 0 21 8
2 7 35 80 1.071 637 434 301 74 104 38 25 11 14 9 14 2 5 5 1 1 3 0 0 1 0 1 0 1 0 0 0 23 4
2 7 35 81 1.529 909 620 379 108 204 58 43 9 24 8 11 3 6 2 1 0 3 1 0 1 2 0 2 0 0 0 0 34 10
2 7 36 82 690 356 334 180 34 51 26 11 5 3 12 6 0 3 4 0 0 0 0 0 1 1 1 0 1 0 0 0 13 4
2 7 36 83 1.154 730 424 341 77 154 57 23 2 26 7 5 3 3 3 0 1 0 1 0 0 0 1 0 0 0 0 0 18 8
2 8 37 84 1.471 895 576 356 124 128 95 43 20 12 21 8 9 8 6 3 2 1 1 0 0 4 0 1 0 0 0 0 40 13
2 8 37 85 992 566 426 235 61 95 44 36 8 12 12 11 8 7 8 0 0 1 0 1 0 0 1 0 0 0 0 0 17 9
2 8 37 86 970 574 396 261 72 93 50 23 8 7 8 3 0 8 3 1 4 0 0 0 0 1 0 0 0 0 0 0 20 12
2 8 37 87 1.040 636 404 234 95 102 59 32 15 11 11 8 6 6 8 1 3 4 4 2 3 0 0 0 2 0 0 0 21 9
2 8 38 88 1.244 751 493 335 90 100 72 44 10 10 14 14 8 3 1 2 2 0 0 1 0 2 0 0 0 0 0 0 37 6
2 8 38 89 1.291 696 595 255 108 85 82 41 17 18 13 10 6 7 4 2 4 3 1 0 1 0 1 0 1 0 0 0 28 9
2 8 38 90 1.147 631 516 190 99 116 71 42 6 13 14 11 9 6 5 0 1 3 0 0 1 0 1 0 0 0 0 0 36 7
2 8 39 91 1.202 677 525 213 113 89 100 32 16 10 20 13 8 9 5 1 3 2 3 1 1 1 0 2 0 0 0 0 29 6
2 8 39 92 1.261 687 574 211 114 97 103 37 22 16 17 8 6 3 5 3 1 3 1 1 0 0 1 2 1 0 0 0 21 14
2 8 40 93 1.130 662 468 220 106 106 79 34 9 7 16 11 6 13 2 4 5 0 2 1 0 0 1 0 4 0 0 0 23 13
2 8 40 94 1.104 628 476 213 89 85 78 46 19 16 12 5 6 6 1 1 4 0 3 1 0 1 0 1 0 1 0 0 33 7
2 8 40 95 1.090 603 487 246 101 75 64 44 9 11 13 7 5 11 4 2 0 1 0 1 1 6 0 0 0 0 2 0 0 0
2 8 40 96 1.014 534 480 188 97 64 63 32 21 15 9 2 5 3 5 0 2 1 0 0 0 1 0 1 0 0 0 0 17 8
2 8 40 97 791 433 358 139 72 56 51 36 13 3 14 3 6 5 4 0 0 1 3 0 1 0 0 0 0 0 1 0 16 9
2 8 41 98 1.075 583 492 203 86 85 58 46 10 10 15 9 7 9 4 0 1 3 1 1 1 2 1 1 0 0 0 1 22 7
2 8 41 99 1.070 558 512 195 91 82 56 33 10 14 15 4 3 5 2 1 1 0 3 0 3 1 2 0 0 0 0 1 27 9
